team1,team2,toss_winner,toss_choice,man_of_the_match,stadium,place,team1_score,team2_score,winner,win_by_wickets,win_by_runs
CSK,KKR,KKR,Field,Umesh Yadav,Wankhede Stadium,Mumbai,131,133,KKR,6,0
MI,DC,DC,Field,Kuldeep Yadav,Brabourne Stadium,Mumbai,177,179,DC,4,0
RCB,Punjab,Punjab,Field,Odean Smith,Dr DY Patil Sports Academy,Mumbai,205,208,Punjab,5,0
RR,SRH,SRH,Field,Sanju Samson,Maharashtra Cricket Association Stadium,Pune,210,149,RR,0,61
KKR,RCB,RCB,Field,Wanindu Hasaranga de Silva,Dr DY Patil Sports Academy,Mumbai,128,132,RCB,3,0
CSK,LSG,LSG,Field,Evin Lewis,Brabourne Stadium,Mumbai,210,211,LSG,6,0
Punjab,KKR,KKR,Field,Umesh Yadav,Wankhede Stadium,Mumbai,137,141,KKR,6,0
RR,MI,MI,Field,Jos Buttler,Dr DY Patil Sports Academy,Mumbai,193,170,RR,0,23
Punjab,CSK,CSK,Field,Liam Livingstone,Brabourne Stadium,Mumbai,180,126,Punjab,0,54
LSG,SRH,SRH,Field,Avesh Khan,Dr DY Patil Sports Academy,Mumbai,169,157,LSG,0,12
RR,RCB,RCB,Field,Dinesh Karthik,Wankhede Stadium,Mumbai,169,173,RCB,4,0
MI,KKR,KKR,Field,Pat Cummins,Maharashtra Cricket Association Stadium,Pune,161,162,KKR,5,0
DC,LSG,LSG,Field,Quinton de Kock,Dr DY Patil Sports Academy,Mumbai,149,155,LSG,6,0
CSK,SRH,SRH,Field,Abhishek Sharma,Dr DY Patil Sports Academy,Mumbai,154,155,SRH,8,0
MI,RCB,RCB,Field,Anuj Rawat,Maharashtra Cricket Association Stadium,Pune,151,152,RCB,7,0
DC,KKR,KKR,Field,Kuldeep Yadav,Brabourne Stadium,Mumbai,215,171,DC,0,44
RR,LSG,LSG,Field,Yuzvendra Chahal,Wankhede Stadium,Mumbai,165,162,RR,0,3
CSK,RCB,RCB,Field,Shivam Dube,Dr DY Patil Sports Academy,Mumbai,216,193,CSK,0,23
Punjab,MI,MI,Field,Mayank Agarwal,Maharashtra Cricket Association Stadium,Pune,198,186,Punjab,0,12
KKR,SRH,SRH,Field,Rahul Tripathi,Brabourne Stadium,Mumbai,175,176,SRH,7,0
LSG,MI,MI,Field,KL Rahul,Brabourne Stadium,Mumbai,199,181,LSG,0,18
RCB,DC,DC,Field,Dinesh Karthik,Wankhede Stadium,Mumbai,189,173,RCB,0,16
Punjab,SRH,SRH,Field,Umran Malik,Dr DY Patil Sports Academy,Mumbai,151,152,SRH,7,0
RR,KKR,KKR,Field,Yuzvendra Chahal,Brabourne Stadium,Mumbai,217,210,RR,0,7
RCB,LSG,LSG,Field,Faf du Plessis,Dr DY Patil Sports Academy,Mumbai,181,163,RCB,0,18
Punjab,DC,DC,Field,Kuldeep Yadav,Brabourne Stadium,Mumbai,115,119,DC,9,0
MI,CSK,CSK,Field,Mukesh Choudhary,Dr DY Patil Sports Academy,Mumbai,155,156,CSK,3,0
RR,DC,DC,Field,Jos Buttler,Wankhede Stadium,Mumbai,222,207,RR,0,15
RCB,SRH,SRH,Field,Marco Jansen,Brabourne Stadium,Mumbai,68,72,SRH,9,0
LSG,MI,MI,Field,KL Rahul,Wankhede Stadium,Mumbai,168,132,LSG,0,36
Punjab,CSK,CSK,Field,Shikhar Dhawan,Wankhede Stadium,Mumbai,187,176,Punjab,0,11
RR,RCB,RCB,Field,Riyan Parag,Maharashtra Cricket Association Stadium,Pune,144,115,RR,0,29
KKR,DC,DC,Field,Kuldeep Yadav,Wankhede Stadium,Mumbai,146,150,DC,4,0
LSG,Punjab,Punjab,Field,Krunal Pandya,Maharashtra Cricket Association Stadium,Pune,153,133,LSG,0,20
RR,MI,MI,Field,Suryakumar Yadav,Dr DY Patil Sports Academy,Mumbai,158,161,MI,5,0
LSG,DC,LSG,Bat,Mohsin Khan,Wankhede Stadium,Mumbai,195,189,LSG,0,6
CSK,SRH,SRH,Field,Ruturaj Gaikwad,Maharashtra Cricket Association Stadium,Pune,202,189,CSK,0,13
RR,KKR,KKR,Field,Rinku Singh,Wankhede Stadium,Mumbai,152,158,KKR,7,0
RCB,CSK,CSK,Field,Harshal Patel,Maharashtra Cricket Association Stadium,Pune,173,160,RCB,0,13
DC,SRH,SRH,Field,David Warner,Brabourne Stadium,Mumbai,207,186,DC,0,21
Punjab,RR,Punjab,Bat,Yashasvi Jaiswal,Wankhede Stadium,Mumbai,189,190,RR,6,0
LSG,KKR,KKR,Field,Avesh Khan,Maharashtra Cricket Association Stadium,Pune,176,101,LSG,0,75
RCB,SRH,RCB,Bat,Wanindu Hasaranga de Silva,Wankhede Stadium,Mumbai,192,125,RCB,0,67
CSK,DC,DC,Field,Devon Conway,Dr DY Patil Sports Academy,Mumbai,208,117,CSK,0,91
KKR,MI,MI,Field,Jasprit Bumrah,Dr DY Patil Sports Academy,Mumbai,165,113,KKR,0,52
RR,DC,DC,Field,Mitchell Marsh,Dr DY Patil Sports Academy,Mumbai,160,161,DC,8,0
CSK,MI,MI,Field,Daniel Sams,Wankhede Stadium,Mumbai,97,103,MI,5,0
Punjab,RCB,RCB,Field,Jonny Bairstow,Brabourne Stadium,Mumbai,209,155,Punjab,0,54
KKR,SRH,KKR,Bat,Andre Russell,Maharashtra Cricket Association Stadium,Pune,177,123,KKR,0,54
RR,LSG,RR,Bat,Trent Boult,Brabourne Stadium,Mumbai,178,154,RR,0,24
DC,Punjab,Punjab,Field,Shardul Thakur,Dr DY Patil Sports Academy,Mumbai,159,142,DC,0,17
SRH,MI,MI,Field,Rahul Tripathi,Wankhede Stadium,Mumbai,193,190,SRH,0,3
LSG,KKR,LSG,Bat,Quinton de Kock,Dr DY Patil Sports Academy,Mumbai,210,208,LSG,0,2
CSK,RR,CSK,Bat,Ravichandran Ashwin,Brabourne Stadium,Mumbai,150,151,RR,5,0
DC,MI,MI,Field,Jasprit Bumrah,Wankhede Stadium,Mumbai,159,160,MI,5,0
SRH,Punjab,SRH,Bat,Harpreet Brar,Wankhede Stadium,Mumbai,157,160,Punjab,5,0
RCB,LSG,LSG,Field,Rajat Patidar,Eden Gardens,Kolkata,207,193,RCB,0,14
RCB,RR,RR,Field,Jos Buttler,Narendra Modi Stadium,Ahmedabad,157,161,RR,7,0
MI,RCB,RCB,Field,Harshal Patel,MA Chidambaram Stadium,Chepauk,159,160,RCB,2,0
CSK,DC,DC,Field,Shikhar Dhawan,Wankhede Stadium,Mumbai,188,190,DC,7,0
KKR,SRH,SRH,Field,Nitish Rana,MA Chidambaram Stadium,Chepauk,187,177,KKR,0,10
Punjab,RR,RR,Field,Sanju Samson,Wankhede Stadium,Mumbai,221,217,Punjab,0,4
MI,KKR,KKR,Field,Rahul Chahar,MA Chidambaram Stadium,Chepauk,152,142,MI,0,10
RCB,SRH,SRH,Field,Glenn Maxwell,MA Chidambaram Stadium,Chepauk,149,143,RCB,0,6
DC,RR,RR,Field,Jaydev Unadkat,Wankhede Stadium,Mumbai,147,150,RR,3,0
Punjab,CSK,CSK,Field,Deepak Chahar,Wankhede Stadium,Mumbai,106,107,CSK,6,0
MI,SRH,MI,Bat,Kieron Pollard,MA Chidambaram Stadium,Chepauk,150,137,MI,0,13
RCB,KKR,RCB,Bat,AB de Villiers,MA Chidambaram Stadium,Chepauk,204,166,RCB,0,38
Punjab,DC,DC,Field,Shikhar Dhawan,Wankhede Stadium,Mumbai,195,198,DC,6,0
CSK,RR,RR,Field,Moeen Ali,Wankhede Stadium,Mumbai,188,143,CSK,0,45
MI,DC,MI,Bat,Amit Mishra,MA Chidambaram Stadium,Chepauk,137,138,DC,6,0
Punjab,SRH,Punjab,Bat,Jonny Bairstow,MA Chidambaram Stadium,Chepauk,120,121,SRH,9,0
CSK,KKR,KKR,Field,Faf du Plessis,Wankhede Stadium,Mumbai,220,202,CSK,0,18
RR,RCB,RCB,Field,Devdutt Padikkal,Wankhede Stadium,Mumbai,177,181,RCB,10,0
MI,Punjab,Punjab,Field,KL Rahul,MA Chidambaram Stadium,Chepauk,131,132,Punjab,9,0
KKR,RR,RR,Field,Chris Morris,Wankhede Stadium,Mumbai,133,134,RR,6,0
CSK,RCB,CSK,Bat,Ravindra Jadeja,Wankhede Stadium,Mumbai,191,122,CSK,0,69
DC,SRH,DC,Bat,Prithvi Shaw,MA Chidambaram Stadium,Chepauk,159,159,Tied,0,0
Punjab,KKR,KKR,Field,Eoin Morgan,Narendra Modi Stadium,Ahmedabad,123,126,KKR,5,0
RCB,DC,DC,Field,AB de Villiers,Narendra Modi Stadium,Ahmedabad,171,170,RCB,0,1
SRH,CSK,SRH,Bat,Ruturaj Gaikwad,Arun Jaitley Stadium,Delhi,171,173,CSK,7,0
RR,MI,MI,Field,Quinton de Kock,Arun Jaitley Stadium,Delhi,171,172,MI,7,0
KKR,DC,DC,Field,Prithvi Shaw,Narendra Modi Stadium,Ahmedabad,154,156,DC,7,0
Punjab,RCB,RCB,Field,Harpreet Brar,Narendra Modi Stadium,Ahmedabad,179,145,Punjab,0,34
CSK,MI,MI,Field,Kieron Pollard,Arun Jaitley Stadium,Delhi,218,219,MI,4,0
RR,SRH,SRH,Field,Jos Buttler,Arun Jaitley Stadium,Delhi,220,165,RR,0,55
Punjab,DC,DC,Field,Mayank Agarwal,Narendra Modi Stadium,Ahmedabad,166,167,DC,7,0
CSK,MI,CSK,Bat,Ruturaj Gaikwad,Dubai International Cricket Stadium,UAE,156,136,CSK,0,20
RCB,KKR,RCB,Bat,Varun Chakravarthy,Zayed Cricket Stadium,Abu Dhabi,92,94,KKR,9,0
RR,Punjab,Punjab,Field,Kartik Tyagi,Dubai International Cricket Stadium,UAE,185,183,RR,0,2
SRH,DC,SRH,Bat,Anrich Nortje,Dubai International Cricket Stadium,UAE,134,139,DC,8,0
MI,KKR,KKR,Field,Sunil Narine,Zayed Cricket Stadium,Abu Dhabi,155,159,KKR,7,0
RCB,CSK,CSK,Field,Dwayne Bravo,Sharjah Cricket Stadium,UAE,156,157,CSK,6,0
DC,RR,RR,Field,Shreyas Iyer,Zayed Cricket Stadium,Abu Dhabi,154,121,DC,0,33
Punjab,SRH,SRH,Field,Jason Holder,Sharjah Cricket Stadium,UAE,125,120,Punjab,0,5
KKR,CSK,KKR,Bat,Ravindra Jadeja,Zayed Cricket Stadium,Abu Dhabi,171,172,CSK,2,0
RCB,MI,MI,Field,Glenn Maxwell,Dubai International Cricket Stadium,UAE,165,111,RCB,0,54
RR,SRH,RR,Bat,Jason Roy,Dubai International Cricket Stadium,UAE,164,167,SRH,7,0
DC,KKR,KKR,Field,Sunil Narine,Sharjah Cricket Stadium,UAE,127,130,KKR,3,0
Punjab,MI,MI,Field,Kieron Pollard,Zayed Cricket Stadium,Abu Dhabi,135,137,MI,6,0
RR,RCB,RCB,Field,Yuzvendra Chahal,Dubai International Cricket Stadium,UAE,149,153,RCB,7,0
SRH,CSK,CSK,Field,Josh Hazlewood,Sharjah Cricket Stadium,UAE,134,139,CSK,6,0
KKR,Punjab,Punjab,Field,KL Rahul,Dubai International Cricket Stadium,UAE,165,168,Punjab,5,0
MI,DC,DC,Field,Axar Patel,Sharjah Cricket Stadium,UAE,129,132,DC,4,0
CSK,RR,RR,Field,Ruturaj Gaikwad,Zayed Cricket Stadium,Abu Dhabi,189,190,RR,7,0
RCB,Punjab,RCB,Bat,Glenn Maxwell,Sharjah Cricket Stadium,UAE,164,158,RCB,0,6
SRH,KKR,SRH,Bat,Shubman Gill,Dubai International Cricket Stadium,UAE,115,119,KKR,6,0
CSK,DC,DC,Field,Axar Patel,Dubai International Cricket Stadium,UAE,136,139,DC,3,0
RR,MI,MI,Field,Nathan Coulter-Nile,Sharjah Cricket Stadium,UAE,90,94,MI,8,0
SRH,RCB,RCB,Field,Kane Williamson,Zayed Cricket Stadium,Abu Dhabi,141,137,SRH,0,4
CSK,Punjab,Punjab,Field,KL Rahul,Dubai International Cricket Stadium,UAE,134,139,Punjab,6,0
KKR,RR,RR,Field,Shivam Mavi,Sharjah Cricket Stadium,UAE,171,85,KKR,0,86
DC,RCB,RCB,Field,Srikar Bharat,Dubai International Cricket Stadium,UAE,164,166,RCB,7,0
MI,SRH,MI,Bat,Ishan Kishan,Zayed Cricket Stadium,Abu Dhabi,235,193,MI,0,42
DC,CSK,CSK,Field,Ruturaj Gaikwad,Dubai International Cricket Stadium,UAE,172,173,CSK,4,0
RCB,KKR,RCB,Bat,Sunil Narine,Sharjah Cricket Stadium,UAE,138,139,KKR,4,0
DC,KKR,KKR,Field,Venkatesh Iyer,Sharjah Cricket Stadium,UAE,135,136,KKR,3,0
CSK,KKR,KKR,Field,Faf du Plessis,Dubai International Cricket Stadium,UAE,192,165,CSK,0,27
MI,CSK,CSK,Field,Ambati Rayudu,Zayed Cricket Stadium,Abu Dhabi,162,166,CSK,5,0
DC,Punjab,Punjab,Field,Marcus Stoinis,Dubai International Cricket Stadium,UAE,157,157,Tied,0,0
RCB,SRH,SRH,Field,Yuzvendra Chahal,Dubai International Cricket Stadium,UAE,163,153,RCB,0,10
RR,CSK,CSK,Field,Sanju Samson,Sharjah Cricket Stadium,UAE,216,200,RR,0,16
MI,KKR,KKR,Field,Rohit Sharma,Zayed Cricket Stadium,Abu Dhabi,195,146,MI,0,49
Punjab,RCB,RCB,Field,KL Rahul,Dubai International Cricket Stadium,UAE,206,109,Punjab,0,97
DC,CSK,CSK,Field,Prithvi Shaw,Dubai International Cricket Stadium,UAE,175,131,DC,0,44
SRH,KKR,SRH,Bat,Shubman Gill,Zayed Cricket Stadium,Abu Dhabi,142,145,KKR,7,0
Punjab,RR,RR,Field,Sanju Samson,Sharjah Cricket Stadium,UAE,223,226,RR,4,0
RCB,MI,MI,Field,AB de Villiers,Dubai International Cricket Stadium,UAE,201,201,Tied,0,0
SRH,DC,DC,Field,Rashid Khan,Zayed Cricket Stadium,Abu Dhabi,162,147,SRH,0,15
KKR,RR,RR,Field,Shivam Mavi,Dubai International Cricket Stadium,UAE,174,137,KKR,0,37
MI,Punjab,Punjab,Field,Kieron Pollard,Zayed Cricket Stadium,Abu Dhabi,191,143,MI,0,48
SRH,CSK,SRH,Bat,Priyam Garg,Dubai International Cricket Stadium,UAE,164,157,SRH,0,7
RR,RCB,RR,Bat,Yuzvendra Chahal,Zayed Cricket Stadium,Abu Dhabi,154,158,RCB,8,0
DC,KKR,KKR,Field,Shreyas Iyer,Sharjah Cricket Stadium,UAE,228,210,DC,0,18
MI,SRH,MI,Bat,Trent Boult,Sharjah Cricket Stadium,UAE,208,174,MI,0,34
Punjab,CSK,Punjab,Bat,Shane Watson,Dubai International Cricket Stadium,UAE,178,181,CSK,10,0
DC,RCB,RCB,Field,Axar Patel,Dubai International Cricket Stadium,UAE,196,137,DC,0,59
MI,RR,MI,Bat,Suryakumar Yadav,Zayed Cricket Stadium,Abu Dhabi,193,136,MI,0,57
KKR,CSK,KKR,Bat,Rahul Tripathi,Zayed Cricket Stadium,Abu Dhabi,167,157,KKR,0,10
SRH,Punjab,SRH,Bat,Jonny Bairstow,Dubai International Cricket Stadium,UAE,201,132,SRH,0,69
DC,RR,RR,Field,Ravichandran Ashwin,Sharjah Cricket Stadium,UAE,184,138,DC,0,46
KKR,Punjab,KKR,Bat,Dinesh Karthik,Zayed Cricket Stadium,Abu Dhabi,164,162,KKR,0,2
RCB,CSK,RCB,Bat,Virat Kohli,Dubai International Cricket Stadium,UAE,169,132,RCB,0,37
SRH,RR,SRH,Bat,Rahul Tewatia,Dubai International Cricket Stadium,UAE,158,163,RR,5,0
DC,MI,DC,Bat,Quinton de Kock,Zayed Cricket Stadium,Abu Dhabi,162,166,MI,5,0
RCB,KKR,RCB,Bat,AB de Villiers,Sharjah Cricket Stadium,UAE,194,112,RCB,0,82
CSK,SRH,CSK,Bat,Ravindra Jadeja,Dubai International Cricket Stadium,UAE,167,147,CSK,0,20
DC,RR,DC,Bat,Anrich Nortje,Dubai International Cricket Stadium,UAE,161,148,DC,0,13
RCB,Punjab,RCB,Bat,KL Rahul,Sharjah Cricket Stadium,UAE,171,177,Punjab,8,0
KKR,MI,KKR,Bat,Quinton de Kock,Zayed Cricket Stadium,Abu Dhabi,148,149,MI,8,0
RR,RCB,RR,Bat,AB de Villiers,Dubai International Cricket Stadium,UAE,177,179,RCB,7,0
CSK,DC,CSK,Bat,Shikhar Dhawan,Sharjah Cricket Stadium,UAE,179,185,DC,5,0
KKR,SRH,SRH,Field,Lockie Ferguson,Zayed Cricket Stadium,Abu Dhabi,163,163,Tied,0,0
MI,Punjab,MI,Bat,KL Rahul,Dubai International Cricket Stadium,UAE,176,176,Tied,0,0
CSK,RR,CSK,Bat,Jos Buttler,Zayed Cricket Stadium,Abu Dhabi,125,126,RR,7,0
DC,Punjab,DC,Bat,Shikhar Dhawan,Dubai International Cricket Stadium,UAE,164,167,Punjab,5,0
KKR,RCB,KKR,Bat,Mohammed Siraj,Zayed Cricket Stadium,Abu Dhabi,84,85,RCB,8,0
RR,SRH,SRH,Field,Manish Pandey,Dubai International Cricket Stadium,UAE,154,156,SRH,8,0
CSK,MI,MI,Field,Trent Boult,Sharjah Cricket Stadium,UAE,114,116,MI,10,0
KKR,DC,DC,Field,Varun Chakravarthy,Zayed Cricket Stadium,Abu Dhabi,194,135,KKR,0,59
Punjab,SRH,SRH,Field,Chris Jordan,Dubai International Cricket Stadium,UAE,126,114,Punjab,0,12
RCB,CSK,RCB,Bat,Ruturaj Gaikwad,Dubai International Cricket Stadium,UAE,145,150,CSK,8,0
MI,RR,MI,Bat,Ben Stokes,Zayed Cricket Stadium,Abu Dhabi,195,196,RR,8,0
KKR,Punjab,Punjab,Field,Chris Gayle,Sharjah Cricket Stadium,UAE,149,150,Punjab,8,0
SRH,DC,DC,Field,Wriddhiman Saha,Dubai International Cricket Stadium,UAE,219,131,SRH,0,88
RCB,MI,MI,Field,Suryakumar Yadav,Zayed Cricket Stadium,Abu Dhabi,164,166,MI,5,0
KKR,CSK,CSK,Field,Ruturaj Gaikwad,Dubai International Cricket Stadium,UAE,172,178,CSK,6,0
Punjab,RR,RR,Field,Ben Stokes,Zayed Cricket Stadium,Abu Dhabi,185,186,RR,7,0
DC,MI,MI,Field,Ishan Kishan,Dubai International Cricket Stadium,UAE,110,111,MI,9,0
RCB,SRH,SRH,Field,Sandeep Sharma,Sharjah Cricket Stadium,UAE,120,121,SRH,5,0
Punjab,CSK,CSK,Field,Ruturaj Gaikwad,Zayed Cricket Stadium,Abu Dhabi,153,154,CSK,9,0
KKR,RR,RR,Field,Pat Cummins,Dubai International Cricket Stadium,UAE,191,131,KKR,0,60
RCB,DC,DC,Field,Anrich Nortje,Zayed Cricket Stadium,Abu Dhabi,152,154,DC,6,0
MI,SRH,SRH,Field,Shahbaz Nadeem,Sharjah Cricket Stadium,UAE,149,151,SRH,10,0
MI,DC,DC,Field,Jasprit Bumrah,Dubai International Cricket Stadium,UAE,200,143,MI,0,57
RCB,SRH,SRH,Field,Kane Williamson,Sheikh Zayed Stadium,Abu Dhabi,131,132,SRH,6,0
DC,SRH,DC,Bat,Marcus Stoinis,Sheikh Zayed Stadium,Abu Dhabi,189,172,DC,0,17
DC,MI,DC,Bat,Trent Boult,Dubai International Cricket Stadium,UAE,156,157,MI,5,0
RCB,CSK,CSK,Field,Harbhajan Singh,MA Chidambaram Stadium,Chepauk,70,71,CSK,7,0
SRH,KKR,KKR,Field,Andre Russell,Eden Gardens,Kolkata,181,183,KKR,6,0
DC,MI,MI,Field,Rishabh Pant,Wankhede Stadium,Mumbai,213,176,DC,0,37
Punjab,RR,RR,Field,Chris Gayle,Sawai Mansingh Stadium,Jaipur,184,170,Punjab,0,14
DC,CSK,DC,Bat,Shane Watson,Feroz Shah Kotla,Delhi,147,150,CSK,6,0
KKR,Punjab,Punjab,Field,Andre Russell,Eden Gardens,Kolkata,218,190,KKR,0,28
MI,RCB,RCB,Field,Jasprit Bumrah,M Chinnaswamy Stadium,Bangalore,187,181,MI,0,6
RR,SRH,RR,Bat,Rashid Khan,Rajiv Gandhi International Stadium,Uppal,198,201,SRH,5,0
MI,Punjab,Punjab,Field,Mayank Agarwal,Punjab Cricket Association IS Bindra Stadium,Mohali,176,177,Punjab,8,0
KKR,DC,DC,Field,Prithvi Shaw,Feroz Shah Kotla,Delhi,185,185,Tied,0,0
SRH,RCB,RCB,Field,Jonny Bairstow,Rajiv Gandhi International Stadium,Uppal,231,113,SRH,0,118
CSK,RR,RR,Field,MS Dhoni,MA Chidambaram Stadium,Chepauk,175,167,CSK,0,8
Punjab,DC,DC,Field,Sam Curran,Punjab Cricket Association IS Bindra Stadium,Mohali,166,152,Punjab,0,14
RCB,RR,RR,Field,Shreyas Gopal,Sawai Mansingh Stadium,Jaipur,158,164,RR,7,0
MI,CSK,CSK,Field,Hardik Pandya,Wankhede Stadium,Mumbai,170,133,MI,0,37
DC,SRH,SRH,Field,Jonny Bairstow,Feroz Shah Kotla,Delhi,129,131,SRH,5,0
RCB,KKR,KKR,Field,Andre Russell,M Chinnaswamy Stadium,Bangalore,205,206,KKR,5,0
CSK,Punjab,CSK,Bat,Harbhajan Singh,MA Chidambaram Stadium,Chepauk,160,138,CSK,0,22
MI,SRH,SRH,Field,Alzarri Joseph,Rajiv Gandhi International Stadium,Uppal,136,96,MI,0,40
RCB,DC,DC,Field,Kagiso Rabada,M Chinnaswamy Stadium,Bangalore,149,152,DC,4,0
RR,KKR,KKR,Field,Harry Gurney,Sawai Mansingh Stadium,Jaipur,139,140,KKR,8,0
SRH,Punjab,Punjab,Field,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Mohali,150,151,Punjab,6,0
KKR,CSK,CSK,Field,Deepak Chahar,MA Chidambaram Stadium,Chepauk,108,111,CSK,7,0
Punjab,MI,MI,Field,Kieron Pollard,Wankhede Stadium,Mumbai,197,198,MI,3,0
